name,seqres
EKME,EKME
YSCA,YSCA
TGPT,TGPT
AAKQ,AAKQ
LQRL,LQRL
TTLY,TTLY
VSFH,VSFH
WYNA,WYNA
EPWP,EPWP
DNCQ,DNCQ
FLHM,FLHM
WYIG,WYIG
CQYS,CQYS
SNCV,SNCV
DIGN,DIGN
NYQM,NYQM
QASA,QASA
FFRN,FFRN
WKSH,WKSH
HEGV,HEGV
VFWY,VFWY
QNFH,QNFH
ISFP,ISFP
ARGH,ARGH
CRMN,CRMN
QNMV,QNMV
IKQG,IKQG
PMMV,PMMV
HILY,HILY
AQFQ,AQFQ
MHGM,MHGM
WMFD,WMFD
NWPN,NWPN
HPNK,HPNK
LRTE,LRTE
AEAF,AEAF
FHLQ,FHLQ
PIAC,PIAC
KDKI,KDKI
MKCC,MKCC
NAWY,NAWY
YVLE,YVLE
QKYR,QKYR
TFIL,TFIL
DVGL,DVGL
VNAK,VNAK
CEIA,CEIA
CLHA,CLHA
TPEA,TPEA
EEKV,EEKV
GTEV,GTEV
PYYT,PYYT
AMQN,AMQN
KDYC,KDYC
QNIE,QNIE
MWLR,MWLR
AELN,AELN
TDNF,TDNF
YPDQ,YPDQ
PMWQ,PMWQ
WTIN,WTIN
TQLE,TQLE
CWWT,CWWT
PFGR,PFGR
KWMG,KWMG
ICDY,ICDY
IFWQ,IFWQ
VGNK,VGNK
EGSR,EGSR
KSKE,KSKE
AQYS,AQYS
ECDG,ECDG
AFRN,AFRN
NLSK,NLSK
IIDS,IIDS
MFSG,MFSG
IING,IING
IHGP,IHGP
PEFC,PEFC
LPRM,LPRM
VWGW,VWGW
RAKD,RAKD
TDRL,TDRL
PWRH,PWRH
THKW,THKW
AQMK,AQMK
SNYD,SNYD
KVFQ,KVFQ
SWML,SWML
NMHN,NMHN
VNRT,VNRT
QHTR,QHTR
RTHG,RTHG
MKIF,MKIF
WAWT,WAWT
TFIS,TFIS
AIWE,AIWE
MINS,MINS
KNFC,KNFC
YSME,YSME
LKTH,LKTH
PGHR,PGHR
QCWM,QCWM
YYFW,YYFW
GCQH,GCQH
LFGA,LFGA
LREV,LREV
CGCQ,CGCQ
GQFY,GQFY
DGDL,DGDL
IISC,IISC
GLTR,GLTR
RGVQ,RGVQ
DFWH,DFWH
GFKP,GFKP
TTNE,TTNE
FEDH,FEDH
YTAV,YTAV
